Sample	Organ	Seed_origin	Cultivation_soil	Plant_ID
B5B5.1O	Upper_stem	B5	B5	B5B5
B5B5.1R	Rhizosphere	B5	B5	B5B5
B5B5.1S	Panicle	B5	B5	B5B5
B5B5.1U	Lower_stem	B5	B5	B5B5
B5B5.1W	Root	B5	B5	B5B5
B5B5.2O	Upper_stem	B5	B5	B5B5
B5B5.2R	Rhizosphere	B5	B5	B5B5
B5B5.2S	Panicle	B5	B5	B5B5
B5B5.2U	Lower_stem	B5	B5	B5B5
B5B5.2W	Root	B5	B5	B5B5
B5B5.8O	Upper_stem	B5	B5	B5B5
B5B5.8R	Rhizosphere	B5	B5	B5B5
B5B5.8S	Panicle	B5	B5	B5B5
B5B5.8U	Lower_stem	B5	B5	B5B5
B5B5.8W	Root	B5	B5	B5B5
B5L9.1O	Upper_stem	L9	B5	B5L9
B5L9.1R	Rhizosphere	L9	B5	B5L9
B5L9.1S	Panicle	L9	B5	B5L9
B5L9.1U	Lower_stem	L9	B5	B5L9
B5L9.1W	Root	L9	B5	B5L9
B5L9.3O	Upper_stem	L9	B5	B5L9
B5L9.3R	Rhizosphere	L9	B5	B5L9
B5L9.3S	Panicle	L9	B5	B5L9
B5L9.3U	Lower_stem	L9	B5	B5L9
B5L9.3W	Root	L9	B5	B5L9
B5L9.5O	Upper_stem	L9	B5	B5L9
B5L9.5R	Rhizosphere	L9	B5	B5L9
B5L9.5S	Panicle	L9	B5	B5L9
B5L9.5U	Lower_stem	L9	B5	B5L9
B5L9.5W	Root	L9	B5	B5L9
B5V1.1O	Upper_stem	V1	B5	B5V1
B5V1.1R	Rhizosphere	V1	B5	B5V1
B5V1.1S	Panicle	V1	B5	B5V1
B5V1.1U	Lower_stem	V1	B5	B5V1
B5V1.1W	Root	V1	B5	B5V1
B5V1.3O	Upper_stem	V1	B5	B5V1
B5V1.3R	Rhizosphere	V1	B5	B5V1
B5V1.3S	Panicle	V1	B5	B5V1
B5V1.3U	Lower_stem	V1	B5	B5V1
B5V1.3W	Root	V1	B5	B5V1
B5V1.5O	Upper_stem	V1	B5	B5V1
B5V1.5R	Rhizosphere	V1	B5	B5V1
B5V1.5S	Panicle	V1	B5	B5V1
B5V1.5U	Lower_stem	V1	B5	V5V1
B5V1.5W	Root	V1	B5	B5V1
B5s.1	Seeds	B5	B5	NA
B5s.2	Seeds	B5	B5	NA
B5s.3	Seeds	B5	B5	NA
B5.1	Bulk_soil	B5	B5	B5_bulk
B5.2	Bulk_soil	B5	B5	B5_bulk
B5.3	Bulk_soil	B5	B5	B5_bulk
L9B5.3O	Upper_stem	B5	L9	L9B5
L9B5.3R	Rhizosphere	B5	L9	L9B5
L9B5.3S	Panicle	B5	L9	L9B5
L9B5.3U	Lower_stem	B5	L9	L9B5
L9B5.3W	Root	B5	L9	L9B5
L9B5.4O	Upper_stem	B5	L9	L9B5
L9B5.4R	Rhizosphere	B5	L9	L9B5
L9B5.4S	Panicle	B5	L9	L9B5
L9B5.4U	Lower_stem	B5	L9	L9B5
L9B5.4W	Root	B5	L9	L9B5
L9B5.7O	Upper_stem	B5	L9	L9B5
L9B5.7R	Rhizosphere	B5	L9	L9B5
L9B5.7S	Panicle	B5	L9	L9B5
L9B5.7U	Lower_stem	B5	L9	L9B5
L9B5.7W	Root	B5	L9	L9B5
L9L9.7O	Upper_stem	L9	L9	L9L9
L9L9.7R	Rhizosphere	L9	L9	L9L9
L9L9.7S	Panicle	L9	L9	L9L9
L9L9.7U	Lower_stem	L9	L9	L9L9
L9L9.7W	Root	L9	L9	L9L9
L9L9.8O	Upper_stem	L9	L9	L9L9
L9L9.8R	Rhizosphere	L9	L9	L9L9
L9L9.8S	Panicle	L9	L9	L9L9
L9L9.8U	Lower_stem	L9	L9	L9L9
L9L9.8W	Root	L9	L9	L9L9
L9L9.10O	Upper_stem	L9	L9	L9L9
L9L9.10R	Rhizosphere	L9	L9	L9L9
L9L9.10S	Panicle	L9	L9	L9L9
L9L9.10U	Lower_stem	L9	L9	L9L9
L9L9.10W	Root	L9	L9	L9L9
L9V1.1O	Upper_stem	V1	L9	L9V1
L9V1.1R	Rhizosphere	V1	L9	L9V1
L9V1.1S	Panicle	V1	L9	L9V1
L9V1.1U	Lower_stem	V1	L9	L9V1
L9V1.1W	Root	V1	L9	L9V1
L9V1.3O	Upper_stem	V1	L9	L9V1
L9V1.3R	Rhizosphere	V1	L9	L9V1
L9V1.3S	Panicle	V1	L9	L9V1
L9V1.3U	Lower_stem	V1	L9	L9V1
L9V1.3W	Root	V1	L9	L9V1
L9V1.4O	Upper_stem	V1	L9	L9V1
L9V1.4R	Rhizosphere	V1	L9	L9V1
L9V1.4S	Panicle	V1	L9	L9V1
L9V1.4U	Lower_stem	V1	L9	L9V1
L9V1.4W	Root	V1	L9	L9V1
L9s.1	Seeds	L9	L9	NA
L9s.2	Seeds	L9	L9	NA
L9s.3	Seeds	L9	L9	NA
L9.1	Bulk_soil	L9	L9	L9_bulk
L9.2	Bulk_soil	L9	L9	L9_bulk
L9.3	Bulk_soil	L9	L9	L9_bulk
V1s.1	Seeds	V1	V1	NA
V1s.2	Seeds	V1	V1	NA
V1s.3	Seeds	V1	V1	NA
